200000027,123,100000003,123,2024-12-01,1,,2024-12-03T20:25:51.206571600
200000028,20,100000004,60,2024-12-01,1,,2024-12-03T20:27:51.240209900
200000028,44,100000003,20,2024-12-01,1,,2024-12-03T20:27:51.255724400
200000030,qwe,100000004,123,2024-12-01,1,N/A,2024-12-03T23:59:55.662724100
200000031,123,100000004,123,2024-12-01,1,N/A,2024-12-04T00:00:29.878015700
200000031,321,100000003,321,2024-12-01,1,N/A,2024-12-04T00:00:29.893516
200000032,qwer,100000003,123,2024-12-01,1,N/A,2024-12-04T13:56:12.801700
200000033,qwe,100000003,123,2024-12-01,1,N/A,2024-12-04T14:09:07.469621
200000035,123,100000003,123,2024-12-01,1,N/A,2024-12-04T14:09:49.264849
200000036,fggg,100000004,123,2024-12-30,1,N/A,2024-12-04T14:16:13.888977
200000037,123,100000004,213,2024-12-30,1,N/A,2024-12-04T14:18:21.405046
200000038,1234,100000003,1234,2024-12-30,1,N/A,2024-12-04T14:28:09.169305
200000040,789,100000003,14241,2024-12-30,1,N/A,2024-12-04T14:29:04.499074
200000041,223,100000005,223,2024-12-30,1,N/A,2024-12-09T17:26:10.394021
200000044,444,100000005,444,2024-12-30,1,N/A,2024-12-09T17:27:20.233311900
200000045,555,100000005,555,2024-12-30,1,N/A,2024-12-09T17:27:25.750422500
